pclass,survived,name,sex,sibsp,parch,ticket,cabin,embarked,boat,home.dest,age_?,age_dabl_continuous,fare_?,fare_dabl_continuous,body_?,body_dabl_continuous
1,1,"Bonnell, Miss. Caroline",female,0,0,36928,C7,S,8,"Youngstown, OH",0.0,30.0,0.0,164.8667,1.0,
1,1,"Bonnell, Miss. Elizabeth",female,0,0,113783,C103,S,8,"Birkdale, England Cleveland, Ohio",0.0,58.0,0.0,26.55,1.0,
1,0,"Borebank, Mr. John James",male,0,0,110489,D22,S,?,"London / Winnipeg, MB",0.0,42.0,0.0,26.55,1.0,
1,1,"Bowen, Miss. Grace Scott",female,0,0,PC 17608,?,C,4,"Cooperstown, NY",0.0,45.0,0.0,262.375,1.0,
1,1,"Bowerman, Miss. Elsie Edith",female,0,1,113505,E33,S,6,"St Leonards-on-Sea, England Ohio",0.0,22.0,0.0,55.0,1.0,
1,1,"Bradley, Mr. George ('George Arthur Brayton')",male,0,0,111427,?,S,9,"Los Angeles, CA",1.0,,0.0,26.55,1.0,
1,0,"Brady, Mr. John Bertram",male,0,0,113054,A21,S,?,"Pomeroy, WA",0.0,41.0,0.0,30.5,1.0,
1,0,"Brandeis, Mr. Emil",male,0,0,PC 17591,B10,C,?,"Omaha, NE",0.0,48.0,0.0,50.4958,0.0,208.0
1,0,"Brewe, Dr. Arthur Jackson",male,0,0,112379,?,C,?,"Philadelphia, PA",1.0,,0.0,39.6,1.0,
1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,0,0,PC 17610,B4,C,6,"Denver, CO",0.0,44.0,0.0,27.7208,1.0,
1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,2,0,11769,C101,S,D,"Belmont, MA",0.0,59.0,0.0,51.4792,1.0,
1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,0,0,11813,D15,C,8,"Philadelphia, PA",0.0,60.0,0.0,76.2917,1.0,
1,1,"Burns, Miss. Elizabeth Margaret",female,0,0,16966,E40,C,3,?,0.0,41.0,0.0,134.5,1.0,
1,0,"Butt, Major. Archibald Willingham",male,0,0,113050,B38,S,?,"Washington, DC",0.0,45.0,0.0,26.55,1.0,
1,0,"Cairns, Mr. Alexander",male,0,0,113798,?,S,?,?,1.0,,0.0,31.0,1.0,
1,1,"Calderhead, Mr. Edward Pennington",male,0,0,PC 17476,E24,S,5,"New York, NY",0.0,42.0,0.0,26.2875,1.0,
1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,0,0,PC 17606,?,C,6,"Washington, DC",0.0,53.0,0.0,27.4458,1.0,
1,1,"Cardeza, Mr. Thomas Drake Martinez",male,0,1,PC 17755,B51 B53 B55,C,3,"Austria-Hungary / Germantown, Philadelphia, PA",0.0,36.0,0.0,512.3292,1.0,
1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,0,1,PC 17755,B51 B53 B55,C,3,"Germantown, Philadelphia, PA",0.0,58.0,0.0,512.3292,1.0,
1,0,"Carlsson, Mr. Frans Olof",male,0,0,695,B51 B53 B55,S,?,"New York, NY",0.0,33.0,0.0,5.0,1.0,
1,0,"Carrau, Mr. Francisco M",male,0,0,113059,?,S,?,"Montevideo, Uruguay",0.0,28.0,0.0,47.1,1.0,
1,0,"Carrau, Mr. Jose Pedro",male,0,0,113059,?,S,?,"Montevideo, Uruguay",0.0,17.0,0.0,47.1,1.0,
1,1,"Carter, Master. William Thornton II",male,1,2,113760,B96 B98,S,4,"Bryn Mawr, PA",0.0,11.0,0.0,120.0,1.0,
1,1,"Carter, Miss. Lucile Polk",female,1,2,113760,B96 B98,S,4,"Bryn Mawr, PA",0.0,14.0,0.0,120.0,1.0,
1,1,"Carter, Mr. William Ernest",male,1,2,113760,B96 B98,S,C,"Bryn Mawr, PA",0.0,36.0,0.0,120.0,1.0,
1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,1,2,113760,B96 B98,S,4,"Bryn Mawr, PA",0.0,36.0,0.0,120.0,1.0,
1,0,"Case, Mr. Howard Brown",male,0,0,19924,?,S,?,"Ascot, Berkshire / Rochester, NY",0.0,49.0,0.0,26.0,1.0,
1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,0,0,17770,?,C,5,"New York, NY",1.0,,0.0,27.7208,1.0,
1,0,"Cavendish, Mr. Tyrell William",male,1,0,19877,C46,S,?,"Little Onn Hall, Staffs",0.0,36.0,0.0,78.85,0.0,172.0
1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,1,0,19877,C46,S,6,"Little Onn Hall, Staffs",0.0,76.0,0.0,78.85,1.0,
1,0,"Chaffee, Mr. Herbert Fuller",male,1,0,W.E.P. 5734,E31,S,?,"Amenia, ND",0.0,46.0,0.0,61.175,1.0,
1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,1,0,W.E.P. 5734,E31,S,4,"Amenia, ND",0.0,47.0,0.0,61.175,1.0,
1,1,"Chambers, Mr. Norman Campbell",male,1,0,113806,E8,S,5,"New York, NY / Ithaca, NY",0.0,27.0,0.0,53.1,1.0,
1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,1,0,113806,E8,S,5,"New York, NY / Ithaca, NY",0.0,33.0,0.0,53.1,1.0,
1,1,"Chaudanson, Miss. Victorine",female,0,0,PC 17608,B61,C,4,?,0.0,36.0,0.0,262.375,1.0,
1,1,"Cherry, Miss. Gladys",female,0,0,110152,B77,S,8,"London, England",0.0,30.0,0.0,86.5,1.0,
1,1,"Chevre, Mr. Paul Romaine",male,0,0,PC 17594,A9,C,7,"Paris, France",0.0,45.0,0.0,29.7,1.0,
1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,0,1,113505,E33,S,6,"St Leonards-on-Sea, England Ohio",1.0,,0.0,55.0,1.0,
1,0,"Chisholm, Mr. Roderick Robert Crispin",male,0,0,112051,?,S,?,"Liverpool, England / Belfast",1.0,,0.0,0.0,1.0,
1,0,"Clark, Mr. Walter Miller",male,1,0,13508,C89,C,?,"Los Angeles, CA",0.0,27.0,0.0,136.7792,1.0,
1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,1,0,13508,C89,C,4,"Los Angeles, CA",0.0,26.0,0.0,136.7792,1.0,
1,1,"Cleaver, Miss. Alice",female,0,0,113781,?,S,11,?,0.0,22.0,0.0,151.55,1.0,
1,0,"Clifford, Mr. George Quincy",male,0,0,110465,A14,S,?,"Stoughton, MA",1.0,,0.0,52.0,1.0,
1,0,"Colley, Mr. Edward Pomeroy",male,0,0,5727,E58,S,?,"Victoria, BC",0.0,47.0,0.0,25.5875,1.0,
1,1,"Compton, Miss. Sara Rebecca",female,1,1,PC 17756,E49,C,14,"Lakewood, NJ",0.0,39.0,0.0,83.1583,1.0,
1,0,"Compton, Mr. Alexander Taylor Jr",male,1,1,PC 17756,E52,C,?,"Lakewood, NJ",0.0,37.0,0.0,83.1583,1.0,
1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",female,0,2,PC 17756,E45,C,14,"Lakewood, NJ",0.0,64.0,0.0,83.1583,1.0,
1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female,2,0,11770,C101,S,2,"New York, NY",0.0,55.0,0.0,25.7,1.0,
1,0,"Crafton, Mr. John Bertram",male,0,0,113791,?,S,?,"Roachdale, IN",1.0,,0.0,26.55,1.0,
1,0,"Crosby, Capt. Edward Gifford",male,1,1,WE/P 5735,B22,S,?,"Milwaukee, WI",0.0,70.0,0.0,71.0,0.0,269.0
1,1,"Crosby, Miss. Harriet R",female,0,2,WE/P 5735,B22,S,7,"Milwaukee, WI",0.0,36.0,0.0,71.0,1.0,
1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",female,1,1,112901,B26,S,7,"Milwaukee, WI",0.0,64.0,0.0,26.55,1.0,
1,0,"Cumings, Mr. John Bradley",male,1,0,PC 17599,C85,C,?,"New York, NY",0.0,39.0,0.0,71.2833,1.0,
1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1,0,PC 17599,C85,C,4,"New York, NY",0.0,38.0,0.0,71.2833,1.0,
1,1,"Daly, Mr. Peter Denis",male,0,0,113055,E17,S,5 9,"Lima, Peru",0.0,51.0,0.0,26.55,1.0,
1,1,"Daniel, Mr. Robert Williams",male,0,0,113804,?,S,3,"Philadelphia, PA",0.0,27.0,0.0,30.5,1.0,
1,1,"Daniels, Miss. Sarah",female,0,0,113781,?,S,8,?,0.0,33.0,0.0,151.55,1.0,
1,0,"Davidson, Mr. Thornton",male,1,0,F.C. 12750,B71,S,?,"Montreal, PQ",0.0,31.0,0.0,52.0,1.0,
1,1,"Davidson, Mrs. Thornton (Orian Hays)",female,1,2,F.C. 12750,B71,S,3,"Montreal, PQ",0.0,27.0,0.0,52.0,1.0,
1,1,"Dick, Mr. Albert Adrian",male,1,0,17474,B20,S,3,"Calgary, AB",0.0,31.0,0.0,57.0,1.0,
1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,1,0,17474,B20,S,3,"Calgary, AB",0.0,17.0,0.0,57.0,1.0,
1,1,"Dodge, Dr. Washington",male,1,1,33638,A34,S,13,"San Francisco, CA",0.0,53.0,0.0,81.8583,1.0,
1,1,"Dodge, Master. Washington",male,0,2,33638,A34,S,5,"San Francisco, CA",0.0,4.0,0.0,81.8583,1.0,
1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",female,1,1,33638,A34,S,5,"San Francisco, CA",0.0,54.0,0.0,81.8583,1.0,
1,0,"Douglas, Mr. Walter Donald",male,1,0,PC 17761,C86,C,?,"Deephaven, MN / Cedar Rapids, IA",0.0,50.0,0.0,106.425,0.0,62.0
1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,1,1,PC 17558,B58 B60,C,6,"Montreal, PQ",0.0,27.0,0.0,247.5208,1.0,
1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,1,0,PC 17761,C86,C,2,"Deephaven, MN / Cedar Rapids, IA",0.0,48.0,0.0,106.425,1.0,
1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) ('Mrs Morgan')",female,1,0,11755,A16,C,1,London / Paris,0.0,48.0,0.0,39.6,1.0,
1,1,"Duff Gordon, Sir. Cosmo Edmund ('Mr Morgan')",male,1,0,PC 17485,A20,C,1,London / Paris,0.0,49.0,0.0,56.9292,1.0,
1,0,"Dulles, Mr. William Crothers",male,0,0,PC 17580,A18,C,?,"Philadelphia, PA",0.0,39.0,0.0,29.7,0.0,133.0
1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",female,0,1,11767,C54,C,7,"Mt Airy, Philadelphia, PA",0.0,23.0,0.0,83.1583,1.0,
1,1,"Endres, Miss. Caroline Louise",female,0,0,PC 17757,C45,C,4,"New York, NY",0.0,38.0,0.0,227.525,1.0,
1,1,"Eustis, Miss. Elizabeth Mussey",female,1,0,36947,D20,C,4,"Brookline, MA",0.0,54.0,0.0,78.2667,1.0,
1,0,"Evans, Miss. Edith Corse",female,0,0,PC 17531,A29,C,?,"New York, NY",0.0,36.0,0.0,31.6792,1.0,
1,0,"Farthing, Mr. John",male,0,0,PC 17483,C95,S,?,?,1.0,,0.0,221.7792,1.0,
1,1,"Flegenheim, Mrs. Alfred (Antoinette)",female,0,0,PC 17598,?,S,7,"New York, NY",1.0,,0.0,31.6833,1.0,
1,1,"Fleming, Miss. Margaret",female,0,0,17421,?,C,4,?,1.0,,0.0,110.8833,1.0,
1,1,"Flynn, Mr. John Irwin ('Irving')",male,0,0,PC 17474,E25,S,5,"Brooklyn, NY",0.0,36.0,0.0,26.3875,1.0,
1,0,"Foreman, Mr. Benjamin Laventall",male,0,0,113051,C111,C,?,"New York, NY",0.0,30.0,0.0,27.75,1.0,
1,1,"Fortune, Miss. Alice Elizabeth",female,3,2,19950,C23 C25 C27,S,10,"Winnipeg, MB",0.0,24.0,0.0,263.0,1.0,
1,1,"Fortune, Miss. Ethel Flora",female,3,2,19950,C23 C25 C27,S,10,"Winnipeg, MB",0.0,28.0,0.0,263.0,1.0,
1,1,"Fortune, Miss. Mabel Helen",female,3,2,19950,C23 C25 C27,S,10,"Winnipeg, MB",0.0,23.0,0.0,263.0,1.0,
1,0,"Fortune, Mr. Charles Alexander",male,3,2,19950,C23 C25 C27,S,?,"Winnipeg, MB",0.0,19.0,0.0,263.0,1.0,
1,0,"Fortune, Mr. Mark",male,1,4,19950,C23 C25 C27,S,?,"Winnipeg, MB",0.0,64.0,0.0,263.0,1.0,
1,1,"Fortune, Mrs. Mark (Mary McDougald)",female,1,4,19950,C23 C25 C27,S,10,"Winnipeg, MB",0.0,60.0,0.0,263.0,1.0,
1,1,"Francatelli, Miss. Laura Mabel",female,0,0,PC 17485,E36,C,1,?,0.0,30.0,0.0,56.9292,1.0,
1,0,"Franklin, Mr. Thomas Parham",male,0,0,113778,D34,S,?,"Westcliff-on-Sea, Essex",1.0,,0.0,26.55,1.0,
1,1,"Frauenthal, Dr. Henry William",male,2,0,PC 17611,?,S,5,"New York, NY",0.0,50.0,0.0,133.65,1.0,
1,1,"Frauenthal, Mr. Isaac Gerald",male,1,0,17765,D40,C,5,"New York, NY",0.0,43.0,0.0,27.7208,1.0,
1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,1,0,PC 17611,?,S,5,"New York, NY",1.0,,0.0,133.65,1.0,
1,1,"Frolicher, Miss. Hedwig Margaritha",female,0,2,13568,B39,C,5,"Zurich, Switzerland",0.0,22.0,0.0,49.5,1.0,
1,1,"Frolicher-Stehli, Mr. Maxmillian",male,1,1,13567,B41,C,5,"Zurich, Switzerland",0.0,60.0,0.0,79.2,1.0,
1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,1,1,13567,B41,C,5,"Zurich, Switzerland",0.0,48.0,0.0,79.2,1.0,
1,0,"Fry, Mr. Richard",male,0,0,112058,B102,S,?,?,1.0,,0.0,0.0,1.0,
1,0,"Futrelle, Mr. Jacques Heath",male,1,0,113803,C123,S,?,"Scituate, MA",0.0,37.0,0.0,53.1,1.0,
1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,C123,S,D,"Scituate, MA",0.0,35.0,0.0,53.1,1.0,
1,0,"Gee, Mr. Arthur H",male,0,0,111320,E63,S,?,"St Anne's-on-Sea, Lancashire",0.0,47.0,0.0,38.5,0.0,275.0
1,1,"Geiger, Miss. Amalie",female,0,0,113503,C130,C,4,?,0.0,35.0,0.0,211.5,1.0,
1,1,"Gibson, Miss. Dorothy Winifred",female,0,1,112378,?,C,7,"New York, NY",0.0,22.0,0.0,59.4,1.0,
1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,0,1,112378,?,C,7,"New York, NY",0.0,45.0,0.0,59.4,1.0,
1,0,"Giglio, Mr. Victor",male,0,0,PC 17593,B86,C,?,?,0.0,24.0,0.0,79.2,1.0,
1,1,"Goldenberg, Mr. Samuel L",male,1,0,17453,C92,C,5,"Paris, France / New York, NY",0.0,49.0,0.0,89.1042,1.0,
1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,1,0,17453,C92,C,5,"Paris, France / New York, NY",1.0,,0.0,89.1042,1.0,
1,0,"Goldschmidt, Mr. George B",male,0,0,PC 17754,A5,C,?,"New York, NY",0.0,71.0,0.0,34.6542,1.0,
1,1,"Gracie, Col. Archibald IV",male,0,0,113780,C51,C,B,"Washington, DC",0.0,53.0,0.0,28.5,1.0,
1,1,"Graham, Miss. Margaret Edith",female,0,0,112053,B42,S,3,"Greenwich, CT",0.0,19.0,0.0,30.0,1.0,
1,0,"Graham, Mr. George Edward",male,0,1,PC 17582,C91,S,?,"Winnipeg, MB",0.0,38.0,0.0,153.4625,0.0,147.0
1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,0,1,PC 17582,C125,S,3,"Greenwich, CT",0.0,58.0,0.0,153.4625,1.0,
1,1,"Greenfield, Mr. William Bertram",male,0,1,PC 17759,D10 D12,C,7,"New York, NY",0.0,23.0,0.0,63.3583,1.0,
1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,0,1,PC 17759,D10 D12,C,7,"New York, NY",0.0,45.0,0.0,63.3583,1.0,
1,0,"Guggenheim, Mr. Benjamin",male,0,0,PC 17593,B82 B84,C,?,"New York, NY",0.0,46.0,0.0,79.2,1.0,
1,1,"Harder, Mr. George Achilles",male,1,0,11765,E50,C,5,"Brooklyn, NY",0.0,25.0,0.0,55.4417,1.0,
1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",female,1,0,11765,E50,C,5,"Brooklyn, NY",0.0,25.0,0.0,55.4417,1.0,
1,1,"Harper, Mr. Henry Sleeper",male,1,0,PC 17572,D33,C,3,"New York, NY",0.0,48.0,0.0,76.7292,1.0,
1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1,0,PC 17572,D33,C,3,"New York, NY",0.0,49.0,0.0,76.7292,1.0,
1,0,"Harrington, Mr. Charles H",male,0,0,113796,?,S,?,?,1.0,,0.0,42.4,1.0,
1,0,"Harris, Mr. Henry Birkhardt",male,1,0,36973,C83,S,?,"New York, NY",0.0,45.0,0.0,83.475,1.0,
1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,1,0,36973,C83,S,D,"New York, NY",0.0,35.0,0.0,83.475,1.0,
1,0,"Harrison, Mr. William",male,0,0,112059,B94,S,?,?,0.0,40.0,0.0,0.0,0.0,110.0
1,1,"Hassab, Mr. Hammad",male,0,0,PC 17572,D49,C,3,?,0.0,27.0,0.0,76.7292,1.0,
1,1,"Hawksford, Mr. Walter James",male,0,0,16988,D45,S,3,"Kingston, Surrey",1.0,,0.0,30.0,1.0,
1,1,"Hays, Miss. Margaret Bechstein",female,0,0,11767,C54,C,7,"New York, NY",0.0,24.0,0.0,83.1583,1.0,
1,0,"Hays, Mr. Charles Melville",male,1,1,12749,B69,S,?,"Montreal, PQ",0.0,55.0,0.0,93.5,0.0,307.0
1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,1,1,12749,B69,S,3,"Montreal, PQ",0.0,52.0,0.0,93.5,1.0,
1,0,"Head, Mr. Christopher",male,0,0,113038,B11,S,?,London / Middlesex,0.0,42.0,0.0,42.5,1.0,
1,0,"Hilliard, Mr. Herbert Henry",male,0,0,17463,E46,S,?,"Brighton, MA",1.0,,0.0,51.8625,1.0,
1,0,"Hipkins, Mr. William Edward",male,0,0,680,C39,S,?,London / Birmingham,0.0,55.0,0.0,50.0,1.0,
1,1,"Hippach, Miss. Jean Gertrude",female,0,1,111361,B18,C,4,"Chicago, IL",0.0,16.0,0.0,57.9792,1.0,
1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,0,1,111361,B18,C,4,"Chicago, IL",0.0,44.0,0.0,57.9792,1.0,
1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,1,0,13502,D11,S,10,"Hudson, NY",0.0,51.0,0.0,77.9583,1.0,
1,0,"Holverson, Mr. Alexander Oskar",male,1,0,113789,?,S,?,"New York, NY",0.0,42.0,0.0,52.0,0.0,38.0
1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,1,0,113789,?,S,8,"New York, NY",0.0,35.0,0.0,52.0,1.0,
1,1,"Homer, Mr. Harry ('Mr E Haven')",male,0,0,111426,?,C,15,"Indianapolis, IN",0.0,35.0,0.0,26.55,1.0,
1,1,"Hoyt, Mr. Frederick Maxfield",male,1,0,19943,C93,S,D,"New York, NY /  Stamford CT",0.0,38.0,0.0,90.0,1.0,
1,0,"Hoyt, Mr. William Fisher",male,0,0,PC 17600,?,C,14,"New York, NY",1.0,,0.0,30.6958,1.0,
1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,1,0,19943,C93,S,D,"New York, NY /  Stamford CT",0.0,35.0,0.0,90.0,1.0,
1,1,"Icard, Miss. Amelie",female,0,0,113572,B28,?,6,?,0.0,38.0,0.0,80.0,1.0,
1,0,"Isham, Miss. Ann Elizabeth",female,0,0,PC 17595,C49,C,?,"Paris, France New York, NY",0.0,50.0,0.0,28.7125,1.0,
1,1,"Ismay, Mr. Joseph Bruce",male,0,0,112058,B52 B54 B56,S,C,Liverpool,0.0,49.0,0.0,0.0,1.0,
1,0,"Jones, Mr. Charles Cresson",male,0,0,694,?,S,?,"Bennington, VT",0.0,46.0,0.0,26.0,0.0,80.0
1,0,"Julian, Mr. Henry Forbes",male,0,0,113044,E60,S,?,London,0.0,50.0,0.0,26.0,1.0,
1,0,"Keeping, Mr. Edwin",male,0,0,113503,C132,C,?,?,0.0,32.5,0.0,211.5,0.0,45.0
1,0,"Kent, Mr. Edward Austin",male,0,0,11771,B37,C,?,"Buffalo, NY",0.0,58.0,0.0,29.7,0.0,258.0
1,0,"Kenyon, Mr. Frederick R",male,1,0,17464,D21,S,?,"Southington / Noank, CT",0.0,41.0,0.0,51.8625,1.0,
1,1,"Kenyon, Mrs. Frederick R (Marion)",female,1,0,17464,D21,S,8,"Southington / Noank, CT",1.0,,0.0,51.8625,1.0,
1,1,"Kimball, Mr. Edwin Nelson Jr",male,1,0,11753,D19,S,5,"Boston, MA",0.0,42.0,0.0,52.5542,1.0,
1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,1,0,11753,D19,S,5,"Boston, MA",0.0,45.0,0.0,52.5542,1.0,
1,0,"Klaber, Mr. Herman",male,0,0,113028,C124,S,?,"Portland, OR",1.0,,0.0,26.55,1.0,
1,1,"Kreuchen, Miss. Emilie",female,0,0,24160,?,S,2,?,0.0,39.0,0.0,211.3375,1.0,
1,1,"Leader, Dr. Alice (Farnham)",female,0,0,17465,D17,S,8,"New York, NY",0.0,49.0,0.0,25.9292,1.0,
1,1,"LeRoy, Miss. Bertha",female,0,0,PC 17761,?,C,2,?,0.0,30.0,0.0,106.425,1.0,
1,1,"Lesurer, Mr. Gustave J",male,0,0,PC 17755,B101,C,3,?,0.0,35.0,0.0,512.3292,1.0,
1,0,"Lewy, Mr. Ervin G",male,0,0,PC 17612,?,C,?,"Chicago, IL",1.0,,0.0,27.7208,1.0,
1,0,"Lindeberg-Lind, Mr. Erik Gustaf ('Mr Edward Lingrey')",male,0,0,17475,?,S,?,"Stockholm, Sweden",0.0,42.0,0.0,26.55,1.0,
1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,0,0,112377,?,C,6,"Stockholm, Sweden",0.0,55.0,0.0,27.7208,1.0,
1,1,"Lines, Miss. Mary Conover",female,0,1,PC 17592,D28,S,9,"Paris, France",0.0,16.0,0.0,39.4,1.0,
1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,0,1,PC 17592,D28,S,9,"Paris, France",0.0,51.0,0.0,39.4,1.0,
